Название вакансии;Компания;Ссылка;Дата публикации;Когда;Зарплата;Запрос
"Супервайзер торговых представителей (продукция ТМ ""Манеки"")";ДВ-Амур;https://hh.ru/vacancy/124895435;2025-09-24 03:55;2 дней назад;100,000–150,000 RUR;торговый представитель
Торговый представитель Heineken (HoReCa);Проект;https://hh.ru/vacancy/119732350;2025-09-25 08:21;вчера;66,000–120,000 RUR;торговый представитель
Торговый представитель;Норд-Косметик;https://hh.ru/vacancy/125692824;2025-09-24 10:45;2 дней назад;от 81,000 RUR;торговый представитель
Менеджер по развитию клиентской базы (торговый представитель);БЬЮТИЖ РУС (Revlon Professional Brands & Elizabeth Arden);https://hh.ru/vacancy/125390629;2025-09-25 14:04;вчера;от 95,000 RUR;торговый представитель
Торговый представитель (кондитерские изделия, 1 речка / 2 речка);Группа компаний Юнион Владивосток;https://hh.ru/vacancy/124463697;2025-09-25 11:00;вчера;85,000–100,000 RUR;торговый представитель
Супервайзер (территориальный менеджер);Сальников;https://hh.ru/vacancy/125675397;2025-09-24 01:02;2 дней назад;не указано;супервайзер
Супервайзер (направление Лимкорм);Зооград;https://hh.ru/vacancy/124531039;2025-09-26 04:42;сегодня;от 110,000 RUR;супервайзер
Супервайзер;НВТ;https://hh.ru/vacancy/122788093;2025-09-24 08:45;2 дней назад;от 120,000 RUR;супервайзер
Супервайзер горничных;RODINA Residences Vladivostok;https://hh.ru/vacancy/125675511;2025-09-24 02:25;2 дней назад;от 70,000 RUR;супервайзер
Торговый представитель (Владивосток);Медведь;https://hh.ru/vacancy/124484013;2025-09-24 02:28;2 дней назад;78,000–95,000 RUR;супервайзер
Региональный менеджер по продажам, ДВФО (оборудование HoReCa);Мелиус;https://hh.ru/vacancy/125287010;2025-09-24 17:36;2 дней назад;150,000–200,000 RUR;региональный менеджер
Региональный менеджер;Минский молочный завод №1;https://hh.ru/vacancy/125078482;2025-09-24 08:40;2 дней назад;не указано;региональный менеджер
Менеджер по продажам канатной продукции/Региональный менеджер;СтальПром;https://hh.ru/vacancy/125759758;2025-09-25 12:10;вчера;не указано;региональный менеджер
Региональный менеджер по продажам (лабораторное оборудование, реагенты);ИнтерЛабСервис;https://hh.ru/vacancy/123143923;2025-09-25 10:51;вчера;не указано;региональный менеджер
Региональный менеджер по продажам;СТРОЙСИСТЕМА;https://hh.ru/vacancy/125000379;2025-09-24 10:18;2 дней назад;от 130,000 RUR;региональный менеджер
Региональный менеджер по продажам;Автомеханика (ООО Автотрейд);https://hh.ru/vacancy/121541498;2025-09-26 07:54;сегодня;80,000–130,000 RUR;региональный менеджер
Региональный менеджер по документообороту;Т-Банк;https://hh.ru/vacancy/124435455;2025-09-24 12:53;2 дней назад;от 71,000 RUR;региональный менеджер
